time,voltage,pressed
0.1370007,5,0
0.354857,5,0
0.4151108,5,0
0.4782683,5,0
0.5726685,4.99511241446725,0
0.6330837,5,0
0.6938123,5,0
0.7542594,5,0
0.8161186,5,0
0.9070555,5,0
0.9692373,5,0
1.0328586,5,0
1.0940273,5,0
1.1533667,5,0
1.2152306,5,0
1.2756492,5,0
1.3535479,5,0
1.414954,5,0
1.4785097,5,0
1.5405583,5,0
1.6022231,5,0
1.6808194,5,0
1.7406671,5,0
1.8031292,5,0
1.8798856,5,0
1.9403599,5,0
2.0015488,5,0
2.0619499,5,0
2.1367839,5,0
2.2152288,5,0
2.2786321,5,0
2.3556965,5,0
2.4197782,5,0
2.4805041,5,0
2.5551468,5,0
2.6181571,5,0
2.6818996,5,0
2.7588914,5,0
2.8204175,5,0
2.88288,5,0
2.9453644,5,0
3.0212233,5,0
3.0842467,5,0
3.1486809,5,0
3.2247796,5,0
3.2868048,5,0
3.3472658,5,0
3.4089379,5,0
3.4697768,5,0
3.5336959,5,0
3.5972115,5,0
3.661255,5,0
3.7231163,5,0
3.7836364,5,0
3.8439083,5,0
3.9030456,5,0
3.9630924,5,0
4.0250223,5,0
4.1035001,5,0
4.1635237,5,0
4.2266327,5,0
4.2882549,5,0
4.3516175,5,0
4.4134408,5,0
4.4756456,5,0
4.5356461,5,0
4.5976048,5,0
4.6571004,5,0
4.7203473,5,0
4.7847495,5,0
4.8472311,5,0
4.9074456,5,0
4.9683986,5,0
5.0325763,5,0
5.0954675,5,0
5.1553521,5,0
5.233178,5,0
5.2955472,5,0
5.3554351,5,0
5.419452,5,0
5.4830005,5,0
5.5442171,4.99511241446725,0
5.6035977,5,0
5.6662682,5,0
5.7289121,5,0
5.7922827,5,0
5.8536462,5,0
5.9159557,5,0
5.978834,5,0
6.041693,5,0
6.1022665,5,0
6.1657081,5,0
6.2305194,5,0
6.2901811,5,0
6.3526176,5,0
6.4159888,5,0
6.4786379,5,0
6.5394178,5,0
6.6027051,5,0
6.6663953,5,0
6.7292048,5,0
6.7892826,5,0
6.8490439,5,0
6.9123326,5,0
6.9753687,5,0
7.0383067,5,0
7.101054,5,0
7.18041,5,0
7.2564171,5,0
7.3180779,5,0
7.3821197,5,0
7.444205,5,0
7.5051248,5,0
7.5693201,5,0
7.6453259,5,0
7.7053794,5,0
7.7658308,5,0
7.8265843,5,0
7.8874749,5,0
7.9484017,5,0
8.0097335,5,0
8.0712911,5,0
8.1339852,5,0
8.194246,5,0
8.2701017,5,0
8.3340132,5,0
8.394903,5,0
8.474334,5,0
8.5373135,5,0
8.5992931,5,0
8.6593306,5,0
8.7221977,5,0
8.7985161,5,0
8.8594462,5,0
8.9212344,5,0
8.9827937,5,0
9.0465606,5,0
9.1075144,5,0
9.170161,5,0
9.231772,5,0
9.310829,5,0
9.3723971,5,0
9.435094,5,0
9.4981394,4.99511241446725,0
9.5588132,5,0
9.6200251,5,0
9.6965605,5,0
9.7575346,5,0
9.8319349,5,0
9.8944558,5,0
9.9580715,5,0
10.0208689,5,0
