time,voltage,pressed
0.1360961,5,0
0.2624135,5,0
0.4791949,5,0
0.5391862,5,0
0.6172368,5,0
0.7089342,5,0
0.7700724,5,0
0.8316093,5,0
0.8927365,5,0
0.9537085,5,0
1.0164056,5,0
1.0790288,4.99511241446725,0
1.1387024,5,0
1.2166529,5,0
1.2800194,5,0
1.3585877,5,0
1.4179162,5,0
1.4784528,5,0
1.5573102,5,0
1.6326289,5,0
1.6947564,5,0
1.7543945,5,0
1.8291357,5,0
1.8913122,5,0
1.9695156,5,0
2.0334213,5,0
2.0944083,5,0
2.1577509,5,0
2.2201558,5,0
2.2815887,5,0
2.3423598,5,0
2.4177504,5,0
2.4790901,5,0
2.5426281,5,0
2.6035473,5,0
2.6670452,5,0
2.730664,5,0
2.7933743,5,0
2.8557462,5,0
2.9161969,5,0
2.9788769,5,0
3.0402148,5,0
3.1025656,5,0
3.1660611,5,0
3.2297508,5,0
3.2903769,5,0
3.3686414,5,0
3.429783,5,0
3.4924203,5,0
3.554266,5,0
3.6169886,5,0
3.6785459,5,0
3.7569109,5,0
3.8184825,5,0
3.8813281,5,0
3.9446709,5,0
4.0028089,5,0
4.0664681,5,0
4.1281109,5,0
4.1873569,5,0
4.2472635,5,0
4.3110054,5,0
4.3714306,5,0
4.4324062,5,0
4.4934986,5,0
4.555468,5,0
4.6151164,5,0
4.6766691,5,0
4.7407764,5,0
4.8184896,5,0
4.8820833,5,0
4.9423108,5,0
5.0067273,5,0
5.0848189,5,0
5.1470654,5,0
5.2086767,5,0
5.2730186,5,0
5.3499252,5,0
5.4099001,5,0
5.5007782,5,0
5.5601126,5,0
5.6207757,5,0
5.6842211,5,0
5.7473209,5,0
5.8107964,4.99511241446725,0
5.87247,5,0
5.9361281,5,0
5.9984471,5,0
6.0614935,5,0
6.1210399,5,0
6.1840084,5,0
6.2468804,5,0
6.3096639,5,0
6.3712306,5,0
6.4343502,5,0
6.4980452,5,0
6.5589007,5,0
6.6206056,5,0
6.6834594,5,0
6.7448271,5,0
6.8059552,5,0
6.8679745,4.99511241446725,0
6.9467893,5,0
7.009123,5,0
7.0709131,5,0
7.1343231,5,0
7.1939378,5,0
7.2558272,5,0
7.3191252,5,0
7.3978771,5,0
7.4580764,5,0
7.5202186,5,0
7.5842619,5,0
7.6471224,5,0
7.7100712,5,0
7.7878381,5,0
7.8503026,5,0
7.9292214,5,0
7.9902467,5,0
8.0530937,5,0
8.1172911,5,0
8.1775295,5,0
8.2390808,5,0
8.3172794,5,0
8.3796958,5,0
8.4395931,5,0
8.4994778,5,0
8.5629546,5,0
8.624725,5,0
8.7000341,5,0
8.7610334,5,0
8.8248229,5,0
8.9157424,5,0
8.9792913,5,0
9.0425478,5,0
9.1192829,5,0
9.1964534,5,0
9.2602033,5,0
9.3219029,5,0
9.3818046,5,0
9.4444821,5,0
9.506039,5,0
9.5835615,5,0
9.6453629,5,0
9.7081393,5,0
9.7836062,5,0
9.8444364,5,0
9.9536447,5,0
10.0137459,5,0
