time,voltage,pressed
0.1511503,1.12903225806452,1
0.9848098,1.1485826001955,1
1.0608305,1.1485826001955,1
1.1390672,1.15347018572825,1
1.2159954,1.15347018572825,1
1.2925247,1.15347018572825,1
1.3854492,1.15347018572825,1
1.4788316,1.15347018572825,1
1.5686607,1.1485826001955,1
1.6597999,1.15347018572825,1
1.7516411,1.15347018572825,1
1.8446925,1.15347018572825,1
1.9359247,1.15347018572825,1
2.0289322,1.15347018572825,1
2.1234601,1.15347018572825,1
2.214531,1.1485826001955,1
2.2904835,1.1485826001955,1
2.3837561,1.15347018572825,1
2.4762555,1.1485826001955,1
2.5401257,1.1485826001955,1
2.6179319,1.1485826001955,1
2.7105216,1.15347018572825,1
2.8029282,1.1485826001955,1
2.8672669,1.1485826001955,1
2.959501,1.1485826001955,1
3.0373365,1.1485826001955,1
3.1294584,1.1485826001955,1
3.2217588,1.1485826001955,1
3.2829747,1.1485826001955,1
3.3748316,1.15347018572825,1
3.4646471,1.1485826001955,1
3.5571204,1.1485826001955,1
3.6192633,1.1485826001955,1
3.6814871,1.14369501466276,1
3.7742241,1.1485826001955,1
3.8516682,1.1485826001955,1
3.9276672,1.1485826001955,1
4.0189226,1.17302052785924,1
4.0956937,1.19745845552297,1
4.1877596,1.14369501466276,1
4.2505697,1.13391984359726,1
4.3287332,1.12903225806452,1
4.4184978,1.12903225806452,1
4.5112092,1.12903225806452,1
4.6032971,1.11925708699902,1
4.6948728,1.12414467253177,1
4.7577486,1.11925708699902,1
4.85001,1.11436950146628,1
4.9418652,1.11925708699902,1
5.0356121,1.11436950146628,1
