time,voltage,pressed
0.1316004,5,0
0.8732546,5,0
0.9374588,5,0
0.9978627,5,0
1.059113,5,0
1.1201369,5,0
1.1975643,5,0
1.2593699,5,0
1.3372328,5,0
1.4010754,5,0
1.4764902,5,0
1.539565,5,0
1.602494,4.99511241446725,0
1.6648451,5,0
1.740979,5,0
1.8026993,5,0
1.8638185,5,0
1.9244762,5,0
1.9876555,5,0
2.0661255,5,0
2.1263984,5,0
2.1861417,5,0
2.2492077,5,0
2.3134922,5,0
2.3909653,5,0
2.4518451,5,0
2.5143724,5,0
2.5910645,5,0
2.651877,5,0
2.7145844,5,0
2.7762178,5,0
2.839029,5,0
2.8993485,5,0
2.975592,5,0
3.0392267,5,0
3.1013345,5,0
3.1642425,5,0
3.224885,5,0
3.3041864,5,0
3.3662007,5,0
3.427458,5,0
3.4870552,5,0
3.5472643,5,0
3.6088607,5,0
3.6698188,5,0
3.7322224,5,0
3.7960435,5,0
3.8730709,5,0
3.9344087,5,0
3.9973843,5,0
4.0732405,5,0
4.1344293,5,0
4.1961345,5,0
4.258186,5,0
4.3204362,5,0
4.3821803,5,0
4.4424027,5,0
4.5046894,5,0
4.5687083,5,0
4.6312263,5,0
4.6948356,5,0
4.7563125,5,0
4.8185592,5,0
4.8809978,5,0
4.9411878,5,0
5.0013353,5,0
5.0775915,5,0
5.1385489,5,0
5.201261,5,0
5.2617045,5,0
5.3239513,5,0
5.3872736,5,0
5.4501753,5,0
5.5108044,5,0
5.5746073,5,0
5.6371287,5,0
5.6968087,5,0
5.757714,5,0
5.819995,5,0
5.882365,5,0
5.9426942,5,0
6.018548,5,0
6.0811675,5,0
6.143668,5,0
6.2051667,5,0
6.2690648,5,0
6.3314106,5,0
6.3903712,5,0
6.4521902,5,0
6.5133774,5,0
6.5768131,5,0
6.6360589,5,0
6.6992944,5,0
6.7616929,5,0
6.8213025,5,0
6.8811684,5,0
6.9432146,5,0
7.0054149,5,0
7.0661127,5,0
7.1258356,5,0
7.1895653,5,0
7.2521702,5,0
7.3143073,5,0
7.3764429,5,0
7.4523337,5,0
7.5171834,5,0
7.5775462,5,0
7.6395753,5,0
7.7019869,5,0
7.7643128,5,0
7.8238138,5,0
7.8872811,5,0
7.9651298,5,0
8.0265111,5,0
8.102157,5,0
8.1643329,5,0
8.226754,5,0
8.3033054,5,0
8.3808484,5,0
8.4412479,5,0
8.5011856,5,0
8.5617971,5,0
8.6250386,5,0
8.6870544,5,0
8.74852,5,0
8.8255365,5,0
8.8890633,5,0
8.9505964,5,0
9.0126576,5,0
9.074316,5,0
9.1507308,5,0
9.2125757,5,0
9.2730284,5,0
9.3334041,4.99511241446725,0
9.3941532,5,0
9.4558321,5,0
9.5327979,5,0
9.6084949,5,0
9.6849802,5,0
9.747576,5,0
9.8079017,5,0
9.8709198,5,0
9.9311982,5,0
9.9913706,5,0
